BBG 티커,영어 명칭,ISIN,CUSIP,SEDOLS,WKNs,RIC,Listing Date,Currency,Exchange,Management Fee
NVDG,Leverage Shares 2x Long NVDA Daily ETF,US8829276760,882927676,,,,2024-12-13 00:00:00,USD,US,0.0075
TSLG,Leverage Shares 2x Long TSLA Daily ETF,US8829276844,882927684,,,,2024-12-13 00:00:00,USD,US,0.0075
ARMG,Leverage Shares 2x Long ARM Daily ETF,US8829275770,882927577,,,,2025-01-14 00:00:00,USD,US,0.0075
ASMG,Leverage Shares 2x Long ASML Daily ETF,US8829276687,882927668,,,,2025-01-14 00:00:00,USD,US,0.0075
TSMG,Leverage Shares 2x Long TSM Daily ETF,US8829275853,882927585,,,,2025-01-14 00:00:00,USD,US,0.0075
AMDG,Leverage Shares 2x Long AMD Daily ETF,US8829276273,882927627,,,,2025-01-14 00:00:00,USD,US,0.0075
COIG,Leverage Shares 2x Long COIN Daily ETF,US8829276356,882927635,,,,2025-03-14 00:00:00,USD,US,0.0075
HOOG,Leverage Shares 2x Long HOOD Daily ETF,US8829274609,882927460,,,,2025-03-21 00:00:00,USD,US,0.0075
PANG,Leverage Shares 2x Long PANW Daily ETF,US8829274294,882927429,,,,2025-03-21 00:00:00,USD,US,0.0075
ADBG,Leverage Shares 2x Long ADBE Daily ETF,US8829273874,882927387,,,,2025-03-21 00:00:00,USD,US,0.0075
PYPG,Leverage Shares 2x Long PYPL Daily ETF,US8829274526,882927452,,,,2025-04-04 00:00:00,USD,US,0.0075
XYZG,Leverage Shares 2x Long XYZ Daily ETF,US8829274781,882927478,,,,2025-04-04 00:00:00,USD,US,0.0075
CRMG,Leverage Shares 2x Long CRM Daily ETF,US8829273387,882927338,,,,2025-04-04 00:00:00,USD,US,0.0075
PLTG,Leverage Shares 2x Long PLTR Daily ETF,US8829273957,882927395,,,,2025-04-25 00:00:00,USD,US,0.0075
AVGG,Leverage Shares 2x Long AVGO Daily ETF,US8829274377,882927437,,,,2025-05-16 00:00:00,USD,US,0.0075
RTXG,Leverage Shares 2x Long RTX Daily ETF,US8829274948,882927494,,,,2025-06-06 00:00:00,USD,US,0.0075
BOEG,Leverage Shares 2x Long BA Daily ETF,US8829276430,882927643,,,,2025-06-12 00:00:00,USD,US,0.0075
AALG,Leverage Shares 2x Long AAL Daily ETF,US8829273122,882927312,,,,2025-07-11 00:00:00,USD,US,0.0075
UNHG,Leverage Shares 2x Long UNH Daily ETF,US8829271225,882927122,,,,2025-07-22 00:00:00,USD,US,0.0075
CRCG,Leverage Shares 2x Long CRCL Daily ETF,US88340C7011,88340C701,,,,2025-08-11 00:00:00,USD,US,0.0075
CRWG,Leverage Shares 2x Long CRWV Daily ETF,US88340C8753,88340C875,,,,2025-08-11 00:00:00,USD,US,0.0075
BULG,Leverage Shares 2x Long BULL Daily ETF,US88340C8670,88340C867,,,,2025-08-11 00:00:00,USD,US,0.0075
BAIG,Leverage Shares 2x Long BBAI Daily ETF,US8829272702,882927270,,,,2025-08-21 00:00:00,USD,US,0.0075
GLGG,Leverage Shares 2x Long GLXY Daily ETF,US88340C8837,88340C883,,,,2025-08-21 00:00:00,USD,US,0.0075
COTG,Leverage Shares 2x Long COST Daily ETF,US8829272470,882927247,,,,2025-09-19 00:00:00,USD,US,0.0075
FIGG,Leverage Shares 2x Long FIG Daily ETF,US8829271639,882927163,,,,2025-10-14 00:00:00,USD,US,0.0075
FUTG,Leverage Shares 2x Long FUTU Daily ETF,US88340C8597,88340C859,,,,2025-10-14 00:00:00,USD,US,0.0075
BLSG,Leverage Shares 2x Long BLSH Daily ETF,US88340C8340,88340C834,,,,2025-10-27 00:00:00,USD,US,0.0075
BMNG,Leverage Shares 2x Long BMNR Daily ETF,US88340C6856,88340C685,,,,2025-10-27 00:00:00,USD,US,0.0075
MPG,Leverage Shares 2x Long MP Daily ETF,US88340C8423,88340C842,,,,2025-10-27 00:00:00,USD,US,0.0075
NBIG,Leverage Shares 2x Long NBIS Daily ETF,US88340C6773,88340C677,,,,2025-10-27 00:00:00,USD,US,0.0075
